"","YEAR","NUMB_VEHC","CITY","AGE_DRVR_YNGST","AGE_DRVR_OLDEST","SPEED_LIMIT"
"393",2013,2,"Boston","65-74","65-74",30
"394",2013,2,"Boston","21-24","35-44",25
"395",2013,5,"Boston","18-20","25-34",55
"396",2013,2,"Boston","25-34","35-44",40
"397",2013,3,"Boston","25-34","25-34",NA
"398",2013,2,"Boston",NA,NA,30
"399",2013,1,"Boston","55-64","55-64",55
"400",2013,1,"Boston","18-20","18-20",30
"401",2013,3,"Boston","25-34","55-64",55
"402",2013,2,"Boston","55-64","65-74",30
"403",2013,2,"Boston","45-54","45-54",35
"404",2013,2,"Boston","25-34","35-44",35
"405",2013,3,"Boston","25-34",">84",30
"406",2013,2,"Boston","21-24","55-64",35
"407",2013,4,"Boston","21-24","35-44",45
"408",2013,1,"Boston","55-64","55-64",30
"409",2013,2,"Boston","45-54","55-64",30
"410",2013,2,"Boston","21-24","35-44",NA
"411",2013,3,"Boston","35-44","55-64",NA
"412",2013,2,"Boston","25-34","55-64",45
"413",2013,1,"Boston","25-34","25-34",35
"414",2013,6,"Boston","21-24","55-64",45
"415",2013,2,"Boston","35-44","55-64",25
"416",2013,2,"Boston","25-34","35-44",40
"417",2013,2,"Boston","35-44","55-64",55
"418",2013,2,"Boston","25-34","55-64",30
"419",2013,1,"Boston","25-34","25-34",40
"420",2013,1,"Boston","25-34","25-34",65
"421",2013,2,"Boston","35-44","35-44",45
"422",2013,1,"Boston","45-54","45-54",5
"423",2013,2,"Boston","25-34","45-54",25
"424",2013,2,"Boston","35-44","65-74",35
"425",2013,2,"Boston","25-34","25-34",35
"426",2013,2,"Boston","35-44","45-54",NA
"427",2013,2,"Boston","18-20","35-44",NA
"428",2013,1,"Boston","55-64","55-64",30
"429",2013,2,"Boston","21-24","21-24",NA
"430",2013,1,"Boston","45-54","45-54",NA
"431",2013,2,"Boston","21-24","21-24",NA
"432",2013,2,"Boston","21-24","25-34",30
"433",2013,2,"Boston","21-24","21-24",NA
"434",2013,2,"Boston","18-20","35-44",30
"435",2013,2,"Boston","35-44","45-54",30
"436",2013,2,"Boston","25-34","45-54",NA
"437",2013,2,"Boston","25-34","55-64",30
"438",2013,2,"Boston","45-54","45-54",NA
"439",2013,2,"Boston","25-34","35-44",30
"440",2013,1,"Boston","35-44","35-44",55
"441",2013,1,"Boston","21-24","21-24",45
"442",2013,1,"Boston","25-34","25-34",25
"443",2013,1,"Boston","25-34","25-34",30
"444",2013,1,"Boston","18-20","18-20",40
"445",2013,1,"Boston","25-34","25-34",35
"446",2013,2,"Boston","21-24","35-44",NA
"447",2013,1,"Boston","21-24","21-24",NA
"448",2013,2,"Boston","25-34","25-34",NA
"449",2013,2,"Boston","25-34","25-34",NA
"450",2013,2,"Boston","25-34","45-54",NA
"451",2013,3,"Boston","21-24","65-74",40
"452",2013,2,"Boston","55-64","65-74",30
"453",2013,1,"Boston","21-24","21-24",30
"454",2013,2,"Boston","35-44","45-54",40
"455",2013,2,"Boston","18-20","25-34",30
"456",2013,2,"Boston","35-44","35-44",30
"457",2013,2,"Boston","45-54","45-54",NA
"458",2013,1,"Boston","25-34","25-34",NA
"459",2013,1,"Boston","55-64","55-64",NA
"460",2013,2,"Boston","65-74","65-74",NA
"461",2013,1,"Boston",NA,NA,NA
"462",2013,2,"Boston","25-34","45-54",25
"463",2013,2,"Boston","25-34","25-34",55
"464",2013,1,"Boston","25-34","25-34",30
"465",2013,1,"Boston","25-34","25-34",55
"466",2013,2,"Boston","21-24","25-34",NA
"467",2013,4,"Boston","25-34","45-54",45
"468",2013,2,"Boston","45-54","45-54",25
"469",2013,3,"Boston","21-24","25-34",25
"470",2013,2,"Boston","45-54","65-74",35
"471",2013,3,"Boston","18-20","55-64",45
"472",2013,2,"Boston","25-34","35-44",45
"473",2013,1,"Boston","21-24","21-24",45
"474",2013,1,"Boston","21-24","21-24",35
"475",2013,2,"Boston","25-34","45-54",45
"476",2013,3,"Boston","25-34","25-34",55
"477",2013,2,"Boston","21-24","45-54",NA
"478",2013,1,"Boston","21-24","21-24",30
"479",2013,2,"Boston","25-34","65-74",30
"480",2013,1,"Boston","21-24","21-24",30
"481",2013,2,"Boston","21-24","45-54",40
"482",2013,1,"Boston","25-34","25-34",30
"483",2013,2,"Boston","25-34","45-54",30
"484",2013,2,"Boston","21-24","45-54",30
"485",2013,3,"Boston","25-34","65-74",45
"486",2013,2,"Boston","25-34","35-44",45
"487",2013,1,"Boston","21-24","21-24",25
"488",2013,2,"Boston","25-34","25-34",30
"489",2013,4,"Boston","25-34","45-54",45
"490",2013,2,"Boston","25-34","35-44",45
"491",2013,3,"Boston","35-44","55-64",40
"492",2013,1,"Boston","55-64","55-64",20
"493",2013,1,"Boston","18-20","18-20",35
"494",2013,2,"Boston","18-20","25-34",35
"495",2013,2,"Boston","35-44","45-54",35
"496",2013,2,"Boston","55-64","55-64",30
"497",2013,1,"Boston","25-34","25-34",NA
"498",2013,1,"Boston","25-34","25-34",35
"499",2013,2,"Boston","21-24","35-44",35
"500",2013,2,"Boston","45-54","45-54",45
"501",2013,2,"Boston","25-34","55-64",45
"502",2013,2,"Boston","21-24","55-64",45
"503",2013,4,"Boston","21-24","55-64",30
"504",2013,2,"Boston","25-34","45-54",25
"505",2013,2,"Boston","25-34","45-54",NA
"506",2013,2,"Boston","35-44","35-44",30
"507",2013,2,"Boston","45-54","65-74",30
"508",2013,1,"Boston","25-34","25-34",45
"509",2013,2,"Boston","25-34","35-44",40
"510",2013,4,"Boston","25-34","35-44",30
"511",2013,2,"Boston","21-24","55-64",25
"512",2013,1,"Boston",NA,NA,NA
"513",2013,1,"Boston","55-64","55-64",NA
"514",2013,1,"Boston","25-34","25-34",NA
"515",2013,2,"Boston","21-24","65-74",NA
"516",2013,2,"Boston","35-44","35-44",NA
"517",2013,1,"Boston","45-54","45-54",NA
